uuids,experiment_name,experiment_date,sample_type,species,cell_line,agg_date,plating_date,org_age,media,patterning,drug,chip_number
2024-05-04-e-sakura-day22and24,Trace_20240504_13_26_11_21985_day22_ventral_e14,2024-05-04 13:27:00,organoid,organoid,E14,2024-04-11,2024-04-29,23 days 13:27:00,sakura,ventral,,21985e
2024-05-04-e-sakura-day22and24,Trace_20240504_12_46_26_22717_day22_dorsal_kh2,2024-05-04 12:47:53,organoid,organoid,KH2,2024-04-11,2024-04-29,23 days 12:47:53,sakura,dorsal,,22717e
2024-05-04-e-sakura-day22and24,Trace_20240510_11_55_52_20264_28_ventral_kh2,2024-05-10 11:56:41,organoid,organoid,KH2,2024-04-11,2024-04-29,28 days 00:00:00,sakura,ventral,,20264e
2024-05-04-e-sakura-day22and24,Trace_20240506_11_59_11_day24_ventral_kh2,2024-05-06 12:00:09,organoid,organoid,KH2,2024-04-11,2024-04-29,25 days 12:00:09,sakura,ventral,,unknownd
2024-05-04-e-sakura-day22and24,Trace_20240510_11_19_56_22717_28_dorsa_kh2,2024-05-10 11:21:00,organoid,organoid,KH2,2024-04-11,2024-04-29,28 days 00:00:00,sakura,dorsal,,22717e
2024-05-04-e-sakura-day22and24,Trace_20240506_13_00_38_22717_24_Dorsal_kh2,2024-05-06 13:01:21,organoid,organoid,KH2,2024-04-11,2024-04-29,25 days 13:01:21,sakura,dorsal,,22717e
2024-05-04-e-sakura-day22and24_dorothy,Trace_20240504_12_42_01_22064_day22_ventral,2024-05-04 12:43:34,organoid,organoid,KH2,2024-04-11,2024-04-29,23 days 12:43:34,sakura,ventral,,22064e
2024-05-04-e-sakura-day22and24_dorothy,Trace_20240504_13_17_44_20264_day22_kh2_dorsal,2024-05-04 13:18:34,organoid,organoid,KH2,2024-04-11,2024-04-29,23 days 13:18:34,sakura,dorsal,,20264e
2024-05-04-e-sakura-day22and24_dorothy,Trace_20240506_12_02_39_22194_24_ventral_e14,2024-05-06 12:06:08,organoid,organoid,E14,2024-04-11,2024-04-29,25 days 12:06:08,sakura,ventral,,22194e
2024-05-04-e-sakura-day22and24_dorothy,Trace_20240504_12_42_01_21985_day24_ventral_e14,2024-05-06 11:27:11,organoid,organoid,E14,2024-04-11,2024-04-29,25 days 11:27:11,sakura,ventral,,21985e
2024-05-04-e-sakura-day22and24_dorothy,Trace_20240506_12_37_20_20402_24_dorsal_e14,2024-05-06 12:39:29,organoid,organoid,E14,2024-04-11,2024-04-29,25 days 12:39:29,sakura,dorsal,,20402d
2024-05-10-e-all_cell_lines_dorsal_pasca,23150_E14_d35_5_14_2024_dorsal_pasca,2024-05-14 11:50:55,organoid,organoid,E14,2024-04-09,2024-04-29,35 days 11:50:55,sakura,dorsal,,23150e
2024-05-10-e-all_cell_lines_dorsal_pasca,23178_c57bl6_d35_5_14_2024_dorsal_pasca,2024-05-14 17:06:57,organoid,organoid,C57BL6,2024-04-09,2024-04-29,35 days 17:06:57,sakura,dorsal,,23178e
2024-05-10-e-all_cell_lines_dorsal_pasca,23156_c57bl6_d35_5_14_2024_dorsal_pasca,2024-05-14 16:40:47,organoid,organoid,C57BL6,2024-04-09,2024-04-29,35 days 16:40:47,sakura,dorsal,,23156e
